title,year,conference
 Turning yourweakness into a strength: Watermarking deep neural networks by backdooring,2018, In 27th USENIXSecurity Symposium (USENIXSecurity 18)
 Hashcash - A Denial of Service Counter-Measure,2002,2002
 Mixmatch: A holistic approach to semi-supervised learning,2019, InH
 Evasion attacks against machine learning at test time,2013, In Joint Europeanconference on machine learning and knowledge discovery in databases
 Verification of forecasts expressed in terms of probability,1950, Monthly weatherreview
 Ex-ploring connections between active learning and model extraction,2020, In 29th USENIX Security Sym-posium (USENIX Security 20)
 Imagenet: A large-scale hierarchical imagedatabase,2009, In Proceedings of the IEEE Conference on Computer Vision and Pattern Recognition(CVPR)
 Pricing via processing or combatting junk mail,1993, In Ernest F
 Calibrating noise to sensitivity inprivate data analysis,2006, In Theory of cryptography conference
 The algorithmic foundations of differential privacy,2014, Foundationsand Trends? in Theoretical Computer Science
 Generalized odin: Detecting out-of-distribution image without learning from out-of-distribution data,2020, In Proceedings of the IEEE/CVFConference on Computer Vision and Pattern Recognition (CVPR)
 Highaccuracy and high fidelity extraction of neural networks,2020, In 29th USENIX Security Symposium(USENIX Security 20)
 Entangled watermarks as adefense against model extraction,2020, arXiv preprint arXiv:2002
 Entangled watermarks as adefense against model extraction,2020, CoRR
 Proof-of-learning: Definitions and practice,2021, arXivpreprint arXiv:2103
 Prada: protecting against dnn modelstealing attacks,2019, In 2019 IEEE European Symposium on Security and Privacy (EuroS&P)
 Defending against model stealing attacks with adaptivemisinformation,2020, In Proceedings of the IEEE/CVF Conference on Computer Vision and PatternRecognition
 Thieveson sesame street! model extraction of bert-based apis,2020, In International Conference on LearningRepresentations
 Defending against neural network modelstealing attacks using deceptive perturbations,2019, In 2019 IEEE Security and Privacy Workshops(SPW)
 Association for Computing Machinery,1595, ISBN 159593135X
 Dataset inference: Ownership resolutionin machine learning,2021, In Proceedings of ICLR 2021: 9th International Conference on LearningRepresentationsn
 Renyi differential privacy,2017, In 2017 IEEE 30th Computer Security FoundationsSymposium (CSF)
 Megex: Data-free model extractionattack against gradient-based explainable ai,2021,2021
 Deepfool: a simple andaccurate method to fool deep neural networks,2016, In Proceedings of the IEEE conference on computervision and pattern recognition
 Bitcoin: A peer-to-peer electronic cash system,2008, Decentralized Business Review
 Realisticevaluation of deep semi-supervised learning algorithms,2018, In S
 Knockoff nets: Stealing functionality ofblack-box models,2019, In Proceedings of the IEEE/CVF Conference on Computer Vision and PatternRecognition
 Prediction poisoning: Towards defensesagainst dnn model stealing attacks,2020, In International Conference on Learning Representations
 Aframework for the extraction of deep neural networks by leveraging public data,2019, arXiv preprintarXiv:1905
 Stateful detection of modelextraction attacks,2021, CoRR
 Practical black-box attacks against machine learning,2017, In Proceedings of the 2017 ACM onAsia conference on computer and communications security
 Scalable private learning with PATE,2018, In 6th International Conference on LearningRepresentations
 Active learning for convolutional neural networks: A core-setapproach,2017, arXiv preprint arXiv:1708
 Intriguing properties of neural networks,2014, CoRR
 Dawn: Dynamic adversarialwatermarking of neural networks,2019, arXiv preprint arXiv:1906
 Stealing machinelearning models via prediction apis,2016, In 25th {USENIX} Security Symposium ({USENIX} Security16)
 Data-free model extrac-tion,2021, In Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition(CVPR)
 Grey-box extractionof natural language models,2021, In Marina Meila and Tong Zhang (eds
 Private-knn: Practical differen-tial privacy for computer vision,2020, In Proceedings of the IEEE/CVF Conference on Computer Visionand Pattern Recognition (CVPR)
