title,year,conference
 The arcade learning environ-ment: An evaluation platform for general agents,2013, Journal of Artificial Intelligence Research
 Openai gym,2016, arXivpreprint arXiv:1606
 The lottery tickets hypothesis for supervised and self-supervised pre-trainingin computer vision models,2020, arXiv preprint arXiv:2012
 The lottery ticket hypothesis for pre-trained bert networks,2020, arXiv preprintarXiv:2007
 Long live the lottery:The existence of winning tickets in lifelong learning,2021, In International Conference on LearningRepresentations
 Pybullet gymperium,2018, https://github
 Stabilizing thelottery ticket hypothesis,2019, arXiv preprint arXiv:1903
 Linear modeconnectivity and the lottery ticket hypothesis,2020, arXiv preprint arXiv:1912
 Understanding the difficulty of training deep feedforward neuralnetworks,2010, In Proceedings of the thirteenth international conference on artificial intelligence andstatistics
 Learning both weights and connections forefficient neural networks,2015, arXivpreprint arXiv:1506
 Array program-ming with numpy,2020, Nature
 Statistical learning with sparsity: thelasso and generalizations,2019, Chapman and Hall/CRC
 Delving deep into rectifiers: Surpassinghuman-level performance on imagenet classification,2015, In Proceedings of the IEEE internationalconference on computer vision
 Matplotlib: A 2d graphics environment,2007, IEEEAnnaIs of the History of Computing
 Sparse transfer learning via winning lottery tickets,2019, arXivpreprint arXiv:1905
 Human-levelcontrol through deep reinforcement learning,2015, nature
 One ticket to win them all: gener-alizing lottery ticket initializations across datasets and optimizers,2019, In Advances in Neural Infor-mation Processing Systems
 Automatic differentiation inpytorch,2017, 2017
 Policy distil-lation,2015, arXivpreprint arXiv:1511
 Prioritized experience replay,2015, arXivpreprint arXiv:1511
 Kickstart-ing deep reinforcement learning,2018, arXiv preprint arXiv:1803
 Trust regionpolicy optimization,2015, In International conference on machine learning
 Proximal policyoptimization algorithms,2017, arXivpreprint arXiv:1707
 rlpyt: A research code base for deep reinforcement learning inpytorch,2019, arXiv preprint arXiv:1909
 Deep reinforcement learning with double q-learning,2016, In Proceedings of the AAAI Conference on Artificial Intelligence
 Minatar: An atari-inspired testbed for thorough and reproduciblereinforcement learning experiments,2019, arXivpreprint arXiv:1903
 Playing the lottery with rewardsand multiple languages: lottery tickets in rl and nlp,2019, arXiv preprint arXiv:1906
