title,year,conference
 Neuraladditive models: Interpretable machine learning with neural nets,2020, arXiv preprint arXiv:2004
 Generalized Additive Models,1990, ChaPman and Hall/CRC
 Generalized additive models for medical research,1995, Statisticalmethods in medical research
 An evaluation of the doctor-interPretability of generalized additive models withinteractions,2020, In Machine Learning for Healthcare Conference
 Generalized additive models to capture the death rates in canada covid-19,2020, arXivpreprint arXiv:1702
 Interpreting interpretability: Understanding data scientists’ use of interpretabilitytools for machine learning,2020, In Proceedings of the 2020 CHI Conference on Human Factors inComputing Systems
 Purifyinginteraction effects with the functional anova: An efficient algorithm for recovering identifiableadditive models,2020, In International Conference on Artificial Intelligence and Statistics
 Accurate intelligible models withpairwise interactions,2013, In Proceedings of the 19th ACM SIGKDD international conference onKnowledge discovery and data mining
 Quasi-hyperbolic momentum and adam for deep learning,2018, In InternationalConference on Learning Representations
 Interpretml: A unified framework formachine learning interpretability,2019, arXiv preprint arXiv:1909
 Hierarchical generalized additivemodels in ecology: an introduction with mgcv,2019, PeerJ
 Neural oblivious decision ensembles for deeplearning on tabular data,2019, arXiv preprint arXiv:1909
 Generalized additive models in business and economics,2013, International Journal of AdvancedStatistics and Probability
 Learning global additiveexplanations for neural nets using model distillation,2018, arXiv preprint arXiv:1801
 Distill-and-compare: Auditing black-boxmodels using transparent model distillation,2018, In Proceedings of the 2018 AAAI/ACM Conference onAI
 Learning global additiveexplanations of black-box models,2019, 2019
 Detecting statistical interactions from neural networkweights,2017, arXiv preprint arXiv:1705
 Attention is not not explanation,2019, arXiv preprint arXiv:1908
 Vime: Extending the successof self- and semi-supervised learning to tabular domain,2020, In H
