title,year,conference
 A chart demonstrating variations in acuity with retinal position,1974, Vision research
 A summary-statistic representation in periph-eral vision explains visual crowding,2009, Journal of vision
 Eigen-distortions ofhierarchical representations,2017, Advances in Neural Information Processing Systems
 The laplacian pyramid as a compact image code,1987, In Readingsin computer vision
 ¡¯breaking¡¯position-invariant objectrecognition,2005, Nature neuroscience
 Simulating a primary visual cortex at the front of cnns improves robustness to imageperturbations,2020, BioRxiv
 Emergent properties of foveated perceptual systems,2020, arXiv preprintarXiv:2006
 Accelerated texforms: Alternative meth-ods for generating unrecognizable object images with preserved mid-level features,2019, In Conferenceon Cognitive Computational Neuroscience
 Towards metamerism via foveated styletransfer,2019, In International Conference on Learning Representations
 Untangling invariant object recognition,2007, Trends in cognitivesciences
 Image quality assessment: Unifying structure andtexture similarity,2020, IEEE Transactions on Pattern Analysis and Machine Intelligence
 Comparison of full-reference imagequality models for optimization of image processing systems,2021, International Journal of ComputerVision
 Adversarial examples that fool both computer vision andtime-limited humans,2018, In NeurIPS
 Adversarial robustness as a prior for learned representations,2019, arXiv preprintarXiv:1906
 Metamers of neural networksreveal divergence from human perceptual systems,2019, In Advances in Neural Information ProcessingSystems
 Adver-sarial training aligns invariances between artificial neural networks and biological sensory sys-tems,2021, Cosyne Meeting Abstract
 Performance vs,2020, competence in human-machine comparisons
 Five points to check when comparing visual perception in humans and ma-chines,2021, Journal of Vision
 Texture synthesis using convolutional neuralnetworks,2015, Advances in neural information processing systems
 Partial success in closing the gap between human andmachine vision,2021, Neural Information Processing Systems
 Real-time foveated multiresolution system for low-bandwidthvideo communication,3299, In Human vision and electronic imaging III
 Controversial stimuli: Pitting neural net-works against each other as models of human cognition,27, Proceedings of the National Academy ofSciences
 Explaining and harnessing adversarialexamples,2015, International Conference on Learning Representations
 Improving robustness using generated data,2021, Advances in Neural InformationProcessing Systems
 Scale and translation-invariance fornovel objects in human vision,2020, Scientific reports
 Flexible contextual modu-lation of naturalistic texture perception in peripheral vision,2021, Journal of vision
 How to represent part-whole hierarchies in a neural network,2021, arXiv preprintarXiv:2102
 Foveater: Foveated transformer forimage classification,2021, arXiv preprint arXiv:2105
 Deep learning,2015, nature
 Texture synthesis through convolutional neural net-works and spectrum constraints,2016, In 2016 23rd International Conference on Pattern Recognition(ICPR)
 Shape representation in the inferior temporalcortex of monkeys,1995, Current biology
 Mid-level visual features underlie the high-level cate-gorical organization of the ventral stream,2018, Proceedings of the National Academy of Sciences
 To-wards deep learning models resistant to adversarial attacks,2017, International Conference on LearningRepresentations
 In praise of artifice reloaded: Cautionwith natural image databases in modeling vision,2019, Frontiers in neuroscience
 Computational role of eccentricity dependent corticalmagnification,2014, arXiv preprint arXiv:1406
 A parametric texture model based on joint statistics of com-plex wavelet coefficients,2000, International journal of computer vision
 Fixing data augmentation to improve adversarial robustness,2021, Neural InformationProcessing Systems
 Biologically inspired mech-anisms for adversarial robustness,2020, Neural Information Processing Systems
 Capabilities and limitations of peripheral vision,2016, Annual Review of Vision Science
 A summary statisticrepresentation in peripheral vision explains visual search,2012, Journal of vision
 Imagenet large scale visualrecognition challenge,2015, International journal of computer vision
 Deep learning in neural networks: An overview,2015, Neural networks
 A review of interactions betweenperipheral and foveal vision,2020, Journal of vision
 Intriguing properties of neural networks,2014, International Conference on LearningRepresentations
 Visualizing data using t-sne,2008, Journal of machinelearning research
 Testing models of peripheral encodingusing metamerism in an oddity paradigm,2016, Journal of vision
 A parametric texture model based on deep convolutional features closelymatches texture appearance for humans,2017, Journal of vision
 Image content is more important than boumas law for scene metamers,2019, ELife
 Feedback of visual object information to foveal retinotopiccortex,2008, Nature neuroscience
 Opposing effects of selectivity and invariance in peripheralvision,2021, Nature Communications
 Selectivity andtolerance for visual texture in macaque v2,2016, Proceedings of the National Academy of Sciences
